Title,Year,Liters Pure Alcohol Consumed,NumericValue,Min,Max
Czechia,2010,12.9 [11.2 - 15.0],12.94666667,11.22331426,14.95975394
Latvia,2019,12.9 [11.1 - 14.7],12.91,11.07060122,14.72597916
Kazakhstan,2016,3.6 [2.7 - 4.6],3.58,2.667677611,4.597543475
Montenegro,2006,10.4 [8.9 - 12.1],10.41562515,8.906611872,12.11547879
Estonia,2015,16.5 [14.3 - 18.5],16.54,14.30544657,18.50246228
Romania,2005,10.4 [8.7 - 12.2],10.44,8.74018329,12.1790091
Uzbekistan,2016,2.6 [1.8 - 3.4],2.6,1.809536565,3.408445582
Belgium,2018,9.2 [7.7 - 10.6],9.226666667,7.739396676,10.63471447
Slovakia,2013,10.1 [8.4 - 11.6],10.11666667,8.447387099,11.62232788
Russian Federation,2010,10.8 [9.2 - 12.4],10.84666667,9.177557119,12.44140862
Iceland,2017,7.6 [6.3 - 9.2],7.646666667,6.31066889,9.198043758
Switzerland,2000,10.4 [8.7 - 12.0],10.39,8.677794748,11.99753801
Cyprus,2012,5.6 [4.5 - 6.8],5.649915719,4.510510953,6.83954576
Italy,2016,7.3 [6.0 - 8.6],7.276666667,5.981343104,8.603300608
Poland,2017,10.6 [8.9 - 12.2],10.56,8.941575999,12.20541598
Latvia,2022,12.6 [10.9 - 14.4],12.57666667,10.93091428,14.40579001
Italy,2000,9.6 [8.1 - 11.1],9.566666667,8.052828839,11.11372568
Israel,2018,2.6 [1.8 - 3.4],2.566713978,1.768375275,3.35732679
Montenegro,2004,10.3 [8.6 - 11.9],10.2666584,8.635031665,11.92077208
Switzerland,2014,9.2 [7.5 - 10.6],9.156666667,7.53094048,10.61131219
Tajikistan,2003,0.8 [0.4 - 1.2],0.781232629,0.362931446,1.199274133
Albania,2011,4.7 [3.6 - 5.8],4.716124941,3.628392449,5.793731511
Israel,2000,2.2 [1.4 - 2.9],2.225936576,1.435420861,2.949051999
Latvia,2006,10.8 [9.1 - 12.5],10.81333333,9.115306571,12.50928638
Greece,2016,6.8 [5.5 - 8.1],6.752224329,5.475789565,8.063046427
Republic of Moldova,2011,7.8 [6.4 - 9.1],7.751100931,6.399351609,9.084052446
Poland,2005,9.3 [7.8 - 10.9],9.323333333,7.845403782,10.85958798
Latvia,2001,7.1 [5.8 - 8.4],7.083333333,5.79394946,8.418529081
Spain,2010,9.2 [7.6 - 10.8],9.226666667,7.603585588,10.79623522
Switzerland,2012,9.4 [7.8 - 11.0],9.426666667,7.818144509,11.01908809
Tajikistan,2006,0.7 [0.4 - 1.2],0.736620522,0.353402602,1.181058003
Andorra,2003,12.2 [10.3 - 13.9],12.21666667,10.29963522,13.94471734
Israel,2015,2.5 [1.7 - 3.3],2.482473614,1.695154647,3.28759783
Norway,2005,6.4 [5.1 - 7.6],6.353333333,5.110564827,7.609962397
Bosnia and Herzegovina,2010,4.6 [3.5 - 5.6],4.551658713,3.467309826,5.644619837
Uzbekistan,2020,2.2 [1.4 - 2.9],2.166698024,1.421682499,2.903188567
Italy,2010,6.8 [5.5 - 8.0],6.776666667,5.496056426,8.035837994
Netherlands (Kingdom of the),2004,9.5 [8.0 - 11.1],9.52,7.952025101,11.05394379
Andorra,2010,10.8 [9.1 - 12.5],10.83,9.123960566,12.4777962
North Macedonia,2014,3.9 [2.9 - 5.0],3.922942771,2.943983645,4.9579806
Czechia,2017,13.0 [11.4 - 14.9],13.00666667,11.37468973,14.86028627
Republic of Moldova,2016,8.0 [6.6 - 9.4],7.955077512,6.576114472,9.396735933
Hungary,2018,11.0 [9.3 - 12.6],11.01666667,9.311615355,12.58685483
Netherlands (Kingdom of the),2018,8.3 [6.7 - 9.8],8.286666667,6.736995918,9.770697917
Israel,2011,2.7 [1.8 - 3.5],2.669362327,1.763747776,3.481391876
Türkiye,2007,1.4 [0.8 - 2.0],1.373333333,0.781351684,1.954286167
Luxembourg,2005,12.4 [10.7 - 14.2],12.41,10.68093767,14.18056153
North Macedonia,2022,4.7 [3.6 - 5.8],4.735339086,3.637543334,5.802371537
Ukraine,2012,8.7 [7.2 - 10.2],8.713333333,7.2353597,10.20054524
Germany,2007,11.5 [9.7 - 13.2],11.52666667,9.697239009,13.19136715
Armenia,2005,3.7 [2.8 - 4.6],3.707316393,2.757883506,4.612315218
Croatia,2018,10.2 [8.6 - 11.8],10.2139984,8.616941818,11.83933806
United Kingdom of Great Britain and Northern Ireland,2017,9.9 [8.3 - 11.5],9.906666667,8.251166716,11.47073558
Norway,2016,6.0 [4.8 - 7.2],6.0,4.7767308,7.197161744
Bulgaria,2020,10.7 [9.0 - 12.4],10.67997904,8.958296898,12.35261545
Armenia,2016,4.0 [3.0 - 5.0],4.038547584,3.035801533,4.997578201
Belarus,2015,10.0 [8.4 - 11.6],10.00333333,8.366468278,11.61600323
Georgia,2009,6.4 [5.1 - 7.6],6.393849508,5.054354706,7.634817288
Hungary,2001,12.9 [11.2 - 14.8],12.89666667,11.19480197,14.80894438
Portugal,2014,10.0 [8.3 - 11.5],10.02,8.294144541,11.53354329
Latvia,2000,7.1 [5.8 - 8.4],7.083333333,5.79394946,8.418529081
Bulgaria,2003,9.5 [7.9 - 11.0],9.520875233,7.889880569,11.01614191
Republic of Moldova,2004,8.8 [7.4 - 10.4],8.841822936,7.401779817,10.38536428
Estonia,2011,16.1 [14.1 - 18.0],16.06666667,14.0910588,17.99379411
Slovakia,2014,10.2 [8.5 - 11.8],10.15333333,8.488539016,11.83259373
Albania,2005,4.5 [3.5 - 5.6],4.549919813,3.481704227,5.561018617
Kyrgyzstan,2017,5.0 [3.8 - 6.1],5.013333333,3.836023395,6.141514839
Georgia,2008,6.0 [4.8 - 7.1],5.9612608,4.787154127,7.111645638
France,2013,12.0 [10.1 - 13.6],11.95,10.11247614,13.61163495
Ireland,2011,11.6 [10.0 - 13.4],11.64,10.01988527,13.38462369
Norway,2000,5.7 [4.5 - 7.0],5.683333333,4.450258299,6.95618422
Portugal,2019,9.9 [8.5 - 11.4],9.947922933,8.451486211,11.4448566
Albania,2019,4.2 [3.2 - 5.3],4.216621309,3.232591892,5.322831976
Armenia,2002,2.8 [2.0 - 3.7],2.823925364,2.025253706,3.656849289
Malta,2007,6.2 [5.0 - 7.5],6.228756747,4.996787447,7.454547515
Azerbaijan,2000,0.3 [0.1 - 0.6],0.329708274,0.100453867,0.590440899
Romania,2000,11.4 [9.8 - 13.1],11.4,9.756798832,13.0822654
Malta,2015,7.5 [6.0 - 8.9],7.470256499,6.032341716,8.888276091
Belarus,2004,11.4 [9.8 - 13.0],11.35,9.767293881,12.99397465
Netherlands (Kingdom of the),2017,8.3 [6.9 - 9.7],8.293333333,6.861369834,9.723979513
Azerbaijan,2019,1.2 [0.7 - 1.7],1.2,0.701533417,1.747097085
Finland,2005,10.0 [8.3 - 11.5],10.0,8.322383428,11.51841675
United Kingdom of Great Britain and Northern Ireland,2021,10.1 [8.5 - 11.7],10.10666667,8.521133554,11.69854905
Malta,2003,5.4 [4.1 - 6.5],5.426328409,4.096509035,6.535593113
