population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,North Macedonia,Both,35-39 years,Alcohol use disorders,Percent,2005,0.027349971,0.037487471,0.018450606
All Population,Prevalence,North Macedonia,Both,35-39 years,Alcohol use disorders,Rate,2005,2718.488337,3732.048664,1834.658933
All Population,Prevalence,North Macedonia,Both,40-44 years,Alcohol use disorders,Number,2005,3724.398668,5098.606241,2495.970185
All Population,Prevalence,North Macedonia,Both,40-44 years,Alcohol use disorders,Percent,2005,0.024819234,0.033967902,0.016639265
All Population,Prevalence,North Macedonia,Both,40-44 years,Alcohol use disorders,Rate,2005,2471.496225,3383.414936,1656.315943
All Population,Prevalence,North Macedonia,Both,45-49 years,Alcohol use disorders,Number,2005,3415.76181,4417.504812,2503.645235
All Population,Prevalence,North Macedonia,Both,45-49 years,Alcohol use disorders,Percent,2005,0.023071961,0.029819009,0.016905429
All Population,Prevalence,North Macedonia,Both,45-49 years,Alcohol use disorders,Rate,2005,2300.675421,2975.39621,1686.322225
All Population,Prevalence,North Macedonia,Both,50-54 years,Alcohol use disorders,Number,2005,3020.657293,3988.835551,2171.055278
All Population,Prevalence,North Macedonia,Both,50-54 years,Alcohol use disorders,Percent,2005,0.02191153,0.028914846,0.015752212
All Population,Prevalence,North Macedonia,Both,50-54 years,Alcohol use disorders,Rate,2005,2187.196035,2888.234068,1572.016629
All Population,Prevalence,Russian Federation,Both,15-19 years,Alcohol use disorders,Number,2005,175342.8122,236455.739,125886.1897
All Population,Prevalence,Russian Federation,Both,15-19 years,Alcohol use disorders,Percent,2005,0.01457776,0.019538378,0.010482449
All Population,Prevalence,Russian Federation,Both,15-19 years,Alcohol use disorders,Rate,2005,1381.027055,1862.361901,991.4990623
All Population,Prevalence,Russian Federation,Both,20-24 years,Alcohol use disorders,Number,2005,569000.8138,749833.9717,425575.7171
All Population,Prevalence,Russian Federation,Both,20-24 years,Alcohol use disorders,Percent,2005,0.045950717,0.06047435,0.034109393
All Population,Prevalence,Russian Federation,Both,20-24 years,Alcohol use disorders,Rate,2005,4479.766298,5903.473025,3350.574742
All Population,Prevalence,Russian Federation,Both,25-29 years,Alcohol use disorders,Number,2005,758132.7804,970959.7588,576254.1349
All Population,Prevalence,Russian Federation,Both,25-29 years,Alcohol use disorders,Percent,2005,0.06761903,0.086539577,0.051470707
All Population,Prevalence,Russian Federation,Both,25-29 years,Alcohol use disorders,Rate,2005,6677.073006,8551.495678,5075.220367
All Population,Prevalence,Russian Federation,Both,30-34 years,Alcohol use disorders,Number,2005,825149.8332,1064002.415,601067.796
All Population,Prevalence,Russian Federation,Both,30-34 years,Alcohol use disorders,Percent,2005,0.077867913,0.100544948,0.056714253
All Population,Prevalence,Russian Federation,Both,30-34 years,Alcohol use disorders,Rate,2005,7732.641037,9970.97546,5632.724287
All Population,Prevalence,Russian Federation,Both,35-39 years,Alcohol use disorders,Number,2005,778733.5688,1005588.613,602205.1519
All Population,Prevalence,Russian Federation,Both,35-39 years,Alcohol use disorders,Percent,2005,0.080567542,0.103989068,0.06241344
