population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Number,2010,611137.1058099607,872339.069621442,414764.0840547547
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Percent,2010,0.0454004400735696,0.0618472113432807,0.0323321917425261
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Percent,2010,0.0188694403145686,0.0268334630207879,0.012872467020036
All Population,Prevalence,European Region,Male,20-24 years,Alcohol use disorders,Rate,2010,4320.0743956282695,5886.11339153479,3076.1096520432297
All Population,Prevalence,European Region,Female,20-24 years,Alcohol use disorders,Rate,2010,1863.87410462071,2660.4998892375097,1264.96661460575
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Number,2010,1834604.413626216,2296021.3455078527,1409850.3301126163
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Number,2010,749306.9490108129,957070.110361018,561980.7760003214
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Percent,2010,0.0558824633077585,0.0700044514132227,0.0431727707890609
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Percent,2010,0.0226955065670856,0.0290805392780158,0.0170554768082465
All Population,Prevalence,European Region,Male,25-29 years,Alcohol use disorders,Rate,2010,5419.73774914754,6782.8429206170795,4164.94095294172
All Population,Prevalence,European Region,Female,25-29 years,Alcohol use disorders,Rate,2010,2254.43979753435,2879.53681555586,1690.83154578629
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Number,2010,1864325.7520157108,2355512.9532630416,1361233.712399031
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Number,2010,756964.4822336561,1002887.1090083544,520636.0709124369
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Percent,2010,0.057374475726207,0.072350456630345,0.0420176413479976
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Percent,2010,0.0231224005163411,0.0306247839841858,0.0158952917403546
All Population,Prevalence,European Region,Male,30-34 years,Alcohol use disorders,Rate,2010,5619.93224725799,7100.5955855966295,4103.382270021641
All Population,Prevalence,European Region,Female,30-34 years,Alcohol use disorders,Rate,2010,2302.86524002955,3051.02011681464,1583.89823901899
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Number,2010,1810547.2139753927,2223861.3468752024,1460809.5670924727
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Number,2010,738223.1635479935,950377.731341082,555495.0315236945
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Percent,2010,0.0567033148233387,0.0694976556838505,0.0457071430999536
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Percent,2010,0.022791227984623,0.0293269904089685,0.0171626360717805
All Population,Prevalence,European Region,Male,35-39 years,Alcohol use disorders,Rate,2010,5591.662147107159,6868.13424016339,4511.5385544173905
All Population,Prevalence,European Region,Female,35-39 years,Alcohol use disorders,Rate,2010,2274.03635481322,2927.56122889394,1711.1572204424199
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Number,2010,1761555.3506739703,2160332.4236379326,1429885.97626872
All Population,Prevalence,European Region,Female,40-44 years,Alcohol use disorders,Number,2010,699680.7838376475,918406.2715028616,520337.5998217353
All Population,Prevalence,European Region,Male,40-44 years,Alcohol use disorders,Percent,2010,0.0559359518812483,0.0683836402108518,0.0454786426783866
