Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20082219,SA_0000001476,COUNTRY,EST,YEAR,2004,,,,,,,DATASOURCE,SA_0000001476_EST,1.9,1.9,,,,2018-10-25T13:07:01Z,2004,2004-01-01,2004-12-31
20082220,SA_0000001476,COUNTRY,FIN,YEAR,1998,,,,,,,DATASOURCE,SA_0000001476_FIN,5.6,5.6,,,,2018-10-25T13:07:01Z,1998,1998-01-01,1998-12-31
20082221,SA_0000001476,COUNTRY,FIN,YEAR,2001,,,,,,,DATASOURCE,SA_0000001476_FIN,5.4,5.4,,,,2018-10-25T13:07:01Z,2001,2001-01-01,2001-12-31
20082222,SA_0000001476,COUNTRY,GEO,YEAR,1991,,,,,,,DATASOURCE,SA_0000001476_GEO,1.1,1.1,,,,2018-10-25T13:07:01Z,1991,1991-01-01,1991-12-31
20082223,SA_0000001476,COUNTRY,GRC,YEAR,2000,,,,,,,DATASOURCE,SA_0000001476_GRC,0.9,0.9,,,,2018-10-25T13:07:01Z,2000,2000-01-01,2000-12-31
20082224,SA_0000001476,COUNTRY,ISL,YEAR,2007,,,,,,,DATASOURCE,SA_0000001476_ISL,2.9,2.9,,,,2018-10-25T13:07:01Z,2007,2007-01-01,2007-12-31
20082225,SA_0000001476,COUNTRY,ITA,YEAR,1996,,,,,,,DATASOURCE,SA_0000001476_ITA,0.9,0.9,,,,2018-10-25T13:07:02Z,1996,1996-01-01,1996-12-31
20082226,SA_0000001476,COUNTRY,ITA,YEAR,1997,,,,,,,DATASOURCE,SA_0000001476_ITA,0.8,0.8,,,,2018-10-25T13:07:02Z,1997,1997-01-01,1997-12-31
20082227,SA_0000001476,COUNTRY,JPN,YEAR,1993,,,,,,,DATASOURCE,SA_0000001476_JPN,1.2,1.2,,,,2018-10-25T13:07:02Z,1993,1993-01-01,1993-12-31
20082228,SA_0000001476,COUNTRY,JPN,YEAR,1994,,,,,,,DATASOURCE,SA_0000001476_JPN,1.1,1.1,,,,2018-10-25T13:07:02Z,1994,1994-01-01,1994-12-31
20082229,SA_0000001476,COUNTRY,JPN,YEAR,2012,,,,,,,DATASOURCE,SA_0000001476_JPN,1.6,1.6,,,,2018-10-25T13:07:02Z,2012,2012-01-01,2012-12-31
20082230,SA_0000001476,COUNTRY,KAZ,YEAR,1992,,,,,,,DATASOURCE,SA_0000001476_KAZ,5.4,5.4,,,,2018-10-25T13:07:02Z,1992,1992-01-01,1992-12-31
20082231,SA_0000001476,COUNTRY,LTU,YEAR,2008,,,,,,,DATASOURCE,SA_0000001476_LTU,2.5,2.5,,,,2018-10-25T13:07:02Z,2008,2008-01-01,2008-12-31
20082232,SA_0000001476,COUNTRY,LTU,YEAR,2012,,,,,,,DATASOURCE,SA_0000001476_LTU,2.4,2.4,,,,2018-10-25T13:07:02Z,2012,2012-01-01,2012-12-31
20082233,SA_0000001476,COUNTRY,NZL,YEAR,2013,,,,,,,DATASOURCE,SA_0000001476_NZL,1.9,1.9,,,,2018-10-25T13:07:02Z,2013,2013-01-01,2013-12-31
20082234,SA_0000001476,COUNTRY,NOR,YEAR,1990,,,,,,,DATASOURCE,SA_0000001476_NOR,4.6,4.6,,,,2018-10-25T13:07:02Z,1990,1990-01-01,1990-12-31
20082235,SA_0000001476,COUNTRY,ARM,YEAR,2005,,,,,,,DATASOURCE,SA_0000001476_ARM,1.6,1.6,,,,2018-10-25T13:07:02Z,2005,2005-01-01,2005-12-31
20082236,SA_0000001476,COUNTRY,ARM,YEAR,2004,,,,,,,DATASOURCE,SA_0000001476_ARM,1.6,1.6,,,,2018-10-25T13:07:02Z,2004,2004-01-01,2004-12-31
