location,sex,age,year,percent_of_prevalence,upper_bound,lower_bound,generation,prevalence %
Albania,Both Sexes,20-24 years,2017,0.022002983,0.035021844,0.013012414,Gen_Z,2.20%
Albania,Male,25-29 years,2017,0.032052915,0.045330238,0.021495375,Millennial,3.21%
Albania,Female,25-29 years,2017,0.024955929,0.036386386,0.015984056,Millennial,2.50%
Albania,Both Sexes,25-29 years,2017,0.028711548,0.040442552,0.019272728,Millennial,2.87%
Albania,Male,30-34 years,2017,0.032399025,0.046244561,0.019863303,Millennial,3.24%
Albania,Female,30-34 years,2017,0.027186533,0.041328959,0.015817625,Millennial,2.72%
Albania,Both Sexes,30-34 years,2017,0.029870203,0.043967479,0.017625529,Millennial,2.99%
Albania,Male,35-39 years,2017,0.027279327,0.03693018,0.018466194,Millennial,2.73%
Albania,Female,35-39 years,2017,0.025258815,0.035057614,0.016231393,Millennial,2.53%
Albania,Both Sexes,35-39 years,2017,0.026237694,0.035624935,0.017536406,Millennial,2.62%
Albania,Male,40-44 years,2017,0.022280788,0.031349326,0.015110425,Gen_X,2.23%
Albania,Female,40-44 years,2017,0.022661102,0.032728099,0.014566689,Gen_X,2.27%
Albania,Both Sexes,40-44 years,2017,0.022482191,0.032033645,0.014931548,Gen_X,2.25%
Albania,Male,15-19 years,2018,0.009156708,0.014776796,0.004953407,Gen_Z,0.92%
Albania,Female,15-19 years,2018,0.006252615,0.010241681,0.003440326,Gen_Z,0.63%
Albania,Both Sexes,15-19 years,2018,0.007663677,0.012524194,0.004084845,Gen_Z,0.77%
Albania,Male,20-24 years,2018,0.024831946,0.039405296,0.014305955,Gen_Z,2.48%
Albania,Female,20-24 years,2018,0.018013719,0.028455516,0.010472464,Gen_Z,1.80%
Albania,Both Sexes,20-24 years,2018,0.021423837,0.034124214,0.012583293,Gen_Z,2.14%
Albania,Male,25-29 years,2018,0.03016428,0.042391112,0.020441795,Millennial,3.02%
Albania,Female,25-29 years,2018,0.024600123,0.035747055,0.015830203,Millennial,2.46%
Albania,Both Sexes,25-29 years,2018,0.027530115,0.038721398,0.018469773,Millennial,2.75%
Albania,Male,30-34 years,2018,0.030037085,0.042869682,0.018512202,Millennial,3.00%
Albania,Female,30-34 years,2018,0.026717845,0.040895824,0.015511401,Millennial,2.67%
Albania,Both Sexes,30-34 years,2018,0.02844782,0.04157077,0.01686457,Millennial,2.84%
Albania,Male,35-39 years,2018,0.025151571,0.034383274,0.017410472,Millennial,2.52%
Albania,Female,35-39 years,2018,0.024709456,0.034231666,0.015898956,Millennial,2.47%
Albania,Both Sexes,35-39 years,2018,0.024926062,0.03367397,0.016711051,Millennial,2.49%
Albania,Male,40-44 years,2018,0.020499191,0.02876083,0.014193769,Gen_X,2.05%
Albania,Female,40-44 years,2018,0.022102365,0.031978959,0.014339195,Gen_X,2.21%
Albania,Both Sexes,40-44 years,2018,0.0213468,0.030299264,0.01424125,Gen_X,2.13%
Albania,Male,15-19 years,2019,0.008986885,0.014292387,0.004894428,Gen_Z,0.90%
Albania,Female,15-19 years,2019,0.006226554,0.010052877,0.003334988,Gen_Z,0.62%
Albania,Both Sexes,15-19 years,2019,0.007563973,0.012127608,0.00400294,Gen_Z,0.76%
Albania,Male,20-24 years,2019,0.024041538,0.037716958,0.013986518,Gen_Z,2.40%
Albania,Female,20-24 years,2019,0.017844853,0.028460838,0.010363697,Gen_Z,1.78%
Albania,Both Sexes,20-24 years,2019,0.020922584,0.033185138,0.012303746,Gen_Z,2.09%
Albania,Male,25-29 years,2019,0.028574307,0.0397252,0.019408667,Millennial,2.86%
Albania,Female,25-29 years,2019,0.024256321,0.03529532,0.015628297,Millennial,2.43%
Albania,Both Sexes,25-29 years,2019,0.026511666,0.037471715,0.017680482,Millennial,2.65%
Albania,Male,30-34 years,2019,0.028056236,0.040511034,0.017320504,Millennial,2.81%
Albania,Female,30-34 years,2019,0.026261029,0.039980275,0.015306147,Millennial,2.63%
Albania,Both Sexes,30-34 years,2019,0.027203418,0.039232334,0.016219306,Millennial,2.72%
Albania,Male,35-39 years,2019,0.023369443,0.03185449,0.015961339,Millennial,2.34%
Albania,Female,35-39 years,2019,0.0241847,0.03346427,0.015530785,Millennial,2.42%
Albania,Both Sexes,35-39 years,2019,0.023781539,0.032151729,0.015888425,Millennial,2.38%
Albania,Male,40-44 years,2019,0.019006598,0.026765227,0.013248767,Gen_X,1.90%
Albania,Female,40-44 years,2019,0.021561775,0.031428686,0.013844424,Gen_X,2.16%
Albania,Both Sexes,40-44 years,2019,0.020352445,0.02888565,0.013651595,Gen_X,2.04%
Czechia,Male,15-19 years,2010,0.009703706,0.015452563,0.005573619,Millennial,0.97%
Czechia,Female,15-19 years,2010,0.006642821,0.010607735,0.003371773,Millennial,0.66%
Czechia,Both Sexes,15-19 years,2010,0.0081874,0.013121216,0.004571739,Millennial,0.82%
Czechia,Male,20-24 years,2010,0.0267942,0.040828375,0.016647986,Millennial,2.68%
Czechia,Female,20-24 years,2010,0.019132661,0.029789512,0.011120538,Millennial,1.91%
Czechia,Both Sexes,20-24 years,2010,0.023009506,0.035325463,0.01432995,Millennial,2.30%
Czechia,Male,25-29 years,2010,0.033619851,0.046352793,0.023570378,Millennial,3.36%
Czechia,Female,25-29 years,2010,0.025672402,0.037145172,0.016514207,Millennial,2.57%
Czechia,Both Sexes,25-29 years,2010,0.029736481,0.040802441,0.021312739,Millennial,2.97%
Czechia,Male,30-34 years,2010,0.035579066,0.050549766,0.023960169,Gen_X,3.56%
Czechia,Female,30-34 years,2010,0.028552919,0.041949956,0.017077398,Gen_X,2.86%
Czechia,Both Sexes,30-34 years,2010,0.032144769,0.045513974,0.020760757,Gen_X,3.21%
Czechia,Male,35-39 years,2010,0.034990867,0.047069747,0.025419589,Gen_X,3.50%
Czechia,Female,35-39 years,2010,0.029764774,0.040222871,0.0199029,Gen_X,2.98%
Czechia,Both Sexes,35-39 years,2010,0.032439898,0.04317532,0.023624483,Gen_X,3.24%
Czechia,Male,40-44 years,2010,0.034829188,0.046833528,0.026043299,Gen_X,3.48%
Czechia,Female,40-44 years,2010,0.029849378,0.041367098,0.020220388,Gen_X,2.98%
Czechia,Both Sexes,40-44 years,2010,0.032398134,0.041408171,0.024828827,Gen_X,3.24%
Czechia,Male,15-19 years,2011,0.009724061,0.015349983,0.005648893,Millennial,0.97%
Czechia,Female,15-19 years,2011,0.00662515,0.010633277,0.003520693,Millennial,0.66%
Czechia,Both Sexes,15-19 years,2011,0.008187829,0.013070597,0.00464629,Millennial,0.82%
Czechia,Male,20-24 years,2011,0.02693684,0.040800988,0.016984712,Millennial,2.69%
Czechia,Female,20-24 years,2011,0.019124966,0.029636323,0.010989589,Millennial,1.91%
Czechia,Both Sexes,20-24 years,2011,0.023073884,0.035309188,0.014195823,Millennial,2.31%
Czechia,Male,25-29 years,2011,0.034037163,0.046297925,0.024109988,Millennial,3.40%
Czechia,Female,25-29 years,2011,0.02587408,0.036975502,0.016652782,Millennial,2.59%
Czechia,Both Sexes,25-29 years,2011,0.030051023,0.041233658,0.021550642,Millennial,3.01%
Czechia,Male,30-34 years,2011,0.036157229,0.050871361,0.024616151,Millennial,3.62%
Czechia,Female,30-34 years,2011,0.028797351,0.042386889,0.017323696,Millennial,2.88%
Czechia,Both Sexes,30-34 years,2011,0.032565546,0.045841284,0.021105092,Millennial,3.26%
Czechia,Male,35-39 years,2011,0.035513272,0.046649865,0.026170094,Gen_X,3.55%
Czechia,Female,35-39 years,2011,0.02987918,0.040638859,0.020236662,Gen_X,2.99%
Czechia,Both Sexes,35-39 years,2011,0.032763972,0.043248173,0.024015157,Gen_X,3.28%
Czechia,Male,40-44 years,2011,0.035264504,0.046650599,0.02682089,Gen_X,3.53%
Czechia,Female,40-44 years,2011,0.029867445,0.0408249,0.020653746,Gen_X,2.99%
Czechia,Both Sexes,40-44 years,2011,0.032631958,0.04116169,0.025094007,Gen_X,3.26%
Czechia,Male,15-19 years,2012,0.009759908,0.015539398,0.005643982,Gen_Z,0.98%
Czechia,Female,15-19 years,2012,0.006583447,0.010601527,0.003609889,Gen_Z,0.66%
Czechia,Both Sexes,15-19 years,2012,0.008183607,0.013046398,0.004652816,Gen_Z,0.82%
Czechia,Male,20-24 years,2012,0.027241675,0.041000248,0.016744628,Millennial,2.72%
Czechia,Female,20-24 years,2012,0.019098912,0.02959958,0.011043931,Millennial,1.91%
Czechia,Both Sexes,20-24 years,2012,0.023212165,0.035287081,0.014283444,Millennial,2.32%
Czechia,Male,25-29 years,2012,0.035020662,0.047467656,0.024971194,Millennial,3.50%
Czechia,Female,25-29 years,2012,0.02622419,0.036793058,0.01703629,Millennial,2.62%
Czechia,Both Sexes,25-29 years,2012,0.030725771,0.041517264,0.021873313,Millennial,3.07%
Czechia,Male,30-34 years,2012,0.03753137,0.052197551,0.026317171,Millennial,3.75%
Czechia,Female,30-34 years,2012,0.029339271,0.043307847,0.017691009,Millennial,2.93%
Czechia,Both Sexes,30-34 years,2012,0.033538172,0.047016272,0.021915482,Millennial,3.35%
Czechia,Male,35-39 years,2012,0.036756736,0.047790858,0.027810179,Gen_X,3.68%
Czechia,Female,35-39 years,2012,0.030154812,0.040442822,0.020629359,Gen_X,3.02%
Czechia,Both Sexes,35-39 years,2012,0.033534745,0.043454898,0.024990171,Gen_X,3.35%
Czechia,Male,40-44 years,2012,0.036299894,0.046988162,0.028135509,Gen_X,3.63%
Czechia,Female,40-44 years,2012,0.029931949,0.04089059,0.020700112,Gen_X,2.99%
Czechia,Both Sexes,40-44 years,2012,0.033195744,0.04178672,0.025493207,Gen_X,3.32%
Czechia,Male,15-19 years,2013,0.009799826,0.015473831,0.005598927,Gen_Z,0.98%
Czechia,Female,15-19 years,2013,0.006533037,0.010682192,0.003535252,Gen_Z,0.65%
Czechia,Both Sexes,15-19 years,2013,0.008178125,0.01304554,0.004624292,Gen_Z,0.82%
Czechia,Male,20-24 years,2013,0.027599744,0.042004178,0.017328134,Millennial,2.76%
Czechia,Female,20-24 years,2013,0.019065425,0.029585866,0.011114979,Millennial,1.91%
Czechia,Both Sexes,20-24 years,2013,0.023377249,0.035611305,0.014336231,Millennial,2.34%
Czechia,Male,25-29 years,2013,0.036195014,0.048733603,0.025832424,Millennial,3.62%
Czechia,Female,25-29 years,2013,0.026612601,0.036599929,0.017400108,Millennial,2.66%
Czechia,Both Sexes,25-29 years,2013,0.031506846,0.042246725,0.022087821,Millennial,3.15%
Czechia,Male,30-34 years,2013,0.039176103,0.05328368,0.027654724,Millennial,3.92%
Czechia,Female,30-34 years,2013,0.029978296,0.043547404,0.018209622,Millennial,3.00%
Czechia,Both Sexes,30-34 years,2013,0.034698082,0.048122173,0.023487794,Millennial,3.47%
Czechia,Male,35-39 years,2013,0.038242717,0.04954603,0.029268201,Gen_X,3.82%
Czechia,Female,35-39 years,2013,0.030491787,0.040803101,0.020829411,Gen_X,3.05%
Czechia,Both Sexes,35-39 years,2013,0.034457909,0.044080149,0.025560911,Gen_X,3.45%
Czechia,Male,40-44 years,2013,0.037536677,0.04824896,0.028821215,Gen_X,3.75%
Czechia,Female,40-44 years,2013,0.030023014,0.04130122,0.020510269,Gen_X,3.00%
Czechia,Both Sexes,40-44 years,2013,0.033878428,0.04230047,0.025773559,Gen_X,3.39%
Czechia,Male,15-19 years,2014,0.00983403,0.015506161,0.005532155,Gen_Z,0.98%
Czechia,Female,15-19 years,2014,0.006490177,0.010661714,0.003462964,Gen_Z,0.65%
Czechia,Both Sexes,15-19 years,2014,0.008173621,0.013101504,0.004623587,Gen_Z,0.82%
Czechia,Male,20-24 years,2014,0.027902944,0.042919263,0.017745274,Millennial,2.79%
Czechia,Female,20-24 years,2014,0.019036471,0.029697164,0.011165203,Millennial,1.90%
Czechia,Both Sexes,20-24 years,2014,0.023517937,0.035597584,0.014373784,Millennial,2.35%
Czechia,Male,25-29 years,2014,0.037186367,0.049947643,0.026047998,Millennial,3.72%
Czechia,Female,25-29 years,2014,0.0269301,0.037511113,0.017602553,Millennial,2.69%
Czechia,Both Sexes,25-29 years,2014,0.032156861,0.043150494,0.022329992,Millennial,3.22%
Czechia,Male,30-34 years,2014,0.040567202,0.055714846,0.028541065,Millennial,4.06%
Czechia,Female,30-34 years,2014,0.030514865,0.043685898,0.018632365,Millennial,3.05%
Czechia,Both Sexes,30-34 years,2014,0.035675833,0.049308541,0.024556627,Millennial,3.57%
Czechia,Male,35-39 years,2014,0.03949291,0.051362876,0.029726227,Gen_X,3.95%
Czechia,Female,35-39 years,2014,0.030790559,0.041482799,0.020672046,Gen_X,3.08%
Czechia,Both Sexes,35-39 years,2014,0.03524659,0.044464398,0.026319164,Gen_X,3.52%
Czechia,Male,40-44 years,2014,0.038576316,0.050316674,0.029605956,Gen_X,3.86%
Czechia,Female,40-44 years,2014,0.030121037,0.041711853,0.02033737,Gen_X,3.01%
Czechia,Both Sexes,40-44 years,2014,0.03445794,0.043077292,0.025922051,Gen_X,3.45%
Czechia,Male,15-19 years,2015,0.009851341,0.015644304,0.005454265,Gen_Z,0.99%
Czechia,Female,15-19 years,2015,0.006470405,0.0105569,0.003547527,Gen_Z,0.65%
Czechia,Both Sexes,15-19 years,2015,0.00817335,0.013134243,0.004600016,Gen_Z,0.82%
Czechia,Male,20-24 years,2015,0.028042547,0.042781748,0.017014252,Millennial,2.80%
Czechia,Female,20-24 years,2015,0.019023256,0.029780518,0.011200907,Millennial,1.90%
Czechia,Both Sexes,20-24 years,2015,0.023583863,0.035880543,0.014268106,Millennial,2.36%
Czechia,Male,25-29 years,2015,0.037619255,0.050975728,0.026092117,Millennial,3.76%
Czechia,Female,25-29 years,2015,0.027066714,0.038387273,0.017555973,Millennial,2.71%
Czechia,Both Sexes,25-29 years,2015,0.032435929,0.043543434,0.022301491,Millennial,3.24%
Czechia,Male,30-34 years,2015,0.041179217,0.057058281,0.027940256,Millennial,4.12%
Czechia,Female,30-34 years,2015,0.030748745,0.044760909,0.018599678,Millennial,3.07%
Czechia,Both Sexes,30-34 years,2015,0.03610106,0.049625047,0.024490671,Millennial,3.61%
Czechia,Male,35-39 years,2015,0.040028283,0.052699398,0.029364893,Gen_X,4.00%
Czechia,Female,35-39 years,2015,0.030951388,0.042603336,0.020666721,Gen_X,3.10%
Czechia,Both Sexes,35-39 years,2015,0.035607684,0.045176564,0.026798996,Gen_X,3.56%
Czechia,Male,40-44 years,2015,0.0390195,0.05229963,0.029592433,Gen_X,3.90%
Czechia,Female,40-44 years,2015,0.030206103,0.042264684,0.020505045,Gen_X,3.02%
Czechia,Both Sexes,40-44 years,2015,0.034724327,0.044104318,0.026030209,Gen_X,3.47%
Czechia,Male,15-19 years,2016,0.009780088,0.015469818,0.005381762,Gen_Z,0.98%
Czechia,Female,15-19 years,2016,0.006472252,0.010521616,0.00351735,Gen_Z,0.65%
Czechia,Both Sexes,15-19 years,2016,0.008138123,0.012998342,0.004565065,Gen_Z,0.81%
Czechia,Male,20-24 years,2016,0.027809562,0.042690831,0.017483891,Millennial,2.78%
Czechia,Female,20-24 years,2016,0.019023294,0.029701296,0.011086565,Millennial,1.90%
Czechia,Both Sexes,20-24 years,2016,0.02346239,0.035615976,0.014552108,Millennial,2.35%
Czechia,Male,25-29 years,2016,0.03746787,0.049607918,0.026440033,Millennial,3.75%
Czechia,Female,25-29 years,2016,0.027035135,0.03819002,0.017601673,Millennial,2.70%
Czechia,Both Sexes,25-29 years,2016,0.032338939,0.042551208,0.022502313,Millennial,3.23%
Czechia,Male,30-34 years,2016,0.041073436,0.05661808,0.028818245,Millennial,4.11%
