location,sex,age,year,percent_of_prevalence,upper,lower
Luxembourg,Male,40-44 years,2005,0.0638782475770596,0.086598775768189,0.0459934804413964
Luxembourg,Female,40-44 years,2005,0.0214606983463161,0.0287879459386848,0.0148561378022056
Cyprus,Male,15-19 years,2006,0.0220938767592117,0.0336300096743719,0.012504371714588
Cyprus,Female,15-19 years,2006,0.0097493187720469,0.0153701460794787,0.005492424897237
Cyprus,Male,20-24 years,2006,0.0570323419149561,0.0891957649353949,0.0322878630456837
Cyprus,Female,20-24 years,2006,0.0214749262614876,0.0355373662363748,0.0121318519100929
Cyprus,Male,25-29 years,2006,0.0572132791125123,0.0807445928954382,0.0387304059024791
Cyprus,Female,25-29 years,2006,0.0197340139090217,0.0290372168936721,0.0129006851405191
Cyprus,Male,30-34 years,2006,0.0494933924735101,0.0732728595954639,0.0301104446814318
Cyprus,Female,30-34 years,2006,0.0158409090810789,0.0238932627418996,0.0090910803835871
Cyprus,Male,35-39 years,2006,0.0410574606236701,0.0571226608844305,0.0272720588114913
Cyprus,Female,35-39 years,2006,0.0134539238000395,0.0194663146454664,0.0082894495949707
Cyprus,Male,40-44 years,2006,0.0337650205816641,0.0480595261907309,0.0227900518335091
Cyprus,Female,40-44 years,2006,0.0113438156311177,0.0169747876724268,0.0068815578561206
Cyprus,Male,15-19 years,2005,0.0221037915602948,0.0342065357245689,0.012585325885361
Cyprus,Female,15-19 years,2005,0.0097511150954901,0.0152753392971323,0.005566986916496
Cyprus,Male,20-24 years,2005,0.0570730323041461,0.0910583080269542,0.032204250747167
Cyprus,Female,20-24 years,2005,0.0214563243951191,0.0350379208927377,0.0121779009743252
Cyprus,Male,25-29 years,2005,0.0572190264495321,0.080604408060583,0.0382381139542247
Cyprus,Female,25-29 years,2005,0.0197218213895252,0.0288473099744047,0.0126197419702989
Cyprus,Male,30-34 years,2005,0.0494558732029713,0.0725848703224096,0.0299766639443839
Cyprus,Female,30-34 years,2005,0.0158389641817066,0.0245284281031007,0.0091562047920987
Cyprus,Male,35-39 years,2005,0.0409356865386712,0.0567596694783526,0.0268496877463765
Cyprus,Female,35-39 years,2005,0.0134589942421457,0.0195258480387061,0.0082934715130312
Cyprus,Male,40-44 years,2005,0.0336059800859191,0.0481397347861122,0.0225176251504927
Cyprus,Female,40-44 years,2005,0.0113546276389581,0.0172190536031362,0.0068169255238464
Netherlands,Male,15-19 years,2005,0.0157650692541986,0.0247020295944286,0.0090422514996853
Netherlands,Female,15-19 years,2005,0.0060738801962611,0.0093334475415703,0.0034394896650361
