Title,Year,% of Pop. Abstainers,NumericValue,Min,Max
Bosnia and Herzegovina,2016,57.1 [53.3 - 60.9],57.0965008,53.3393482,60.8536533
Spain,2010,30.3 [28.8 - 31.8],30.2755268,28.7800378,31.7710159
Estonia,2010,24.0 [22.4 - 25.5],23.962757,22.4185709,25.5069432
North Macedonia,2014,69.2 [65.3 - 73.2],69.2307431,65.2736015,73.1878848
Andorra,2017,12.4 [11.6 - 13.3],12.4117522,11.5663363,13.2571681
Lithuania,2004,17.5 [16.2 - 18.8],17.4968829,16.2245953,18.7691705
Bulgaria,2004,45.7 [43.1 - 48.3],45.6905399,43.0689178,48.312162
Israel,2019,39.7 [36.9 - 42.4],39.6530601,36.8779256,42.4281947
Germany,2010,14.2 [13.5 - 15.0],14.2221544,13.4601696,14.9841391
Spain,2014,15.9 [15.1 - 16.8],15.9280069,15.051691,16.8043228
Ireland,2008,22.9 [21.6 - 24.1],22.8907567,21.6447856,24.1367277
Portugal,2009,21.3 [20.1 - 22.5],21.2784299,20.1005465,22.4563133
Portugal,2016,29.0 [27.6 - 30.5],29.0307362,27.561774,30.4996984
Bulgaria,2020,34.2 [32.4 - 36.1],34.2360347,32.3841094,36.08796
Austria,2014,26.6 [25.2 - 28.0],26.5667619,25.1630471,27.9704766
Romania,2019,16.4 [15.0 - 17.8],16.3922642,14.9835832,17.8009452
Kyrgyzstan,2017,87.7 [84.3 - 91.0],87.6840356,84.3298733,91.038198
Armenia,2002,63.3 [59.1 - 67.5],63.2993682,59.1299908,67.4687456
Ireland,2018,21.2 [19.4 - 23.0],21.1755465,19.3880796,22.9630134
United Kingdom of Great Britain and Northern Ireland,2008,14.4 [13.6 - 15.1],14.3607254,13.5897503,15.1317005
Switzerland,2018,13.5 [12.5 - 14.4],13.475318,12.5056921,14.4449439
Slovakia,2016,35.5 [33.7 - 37.2],35.4925296,33.7366893,37.24837
Israel,2010,40.4 [37.7 - 43.1],40.4172747,37.7336956,43.1008538
Uzbekistan,2012,80.9 [76.5 - 85.3],80.9250595,76.5041038,85.3460152
Cyprus,2003,29.7 [27.9 - 31.6],29.7304691,27.8735005,31.5874378
Romania,2019,31.0 [28.5 - 33.4],30.9520849,28.5433016,33.3608681
Sweden,2007,23.0 [21.8 - 24.2],23.0116586,21.8452423,24.1780748
Lithuania,2007,16.8 [15.6 - 18.0],16.8063498,15.6155452,17.9971543
Portugal,2000,27.6 [25.8 - 29.4],27.6292832,25.8459428,29.4126236
Slovakia,2010,27.6 [26.2 - 29.0],27.5831587,26.1817179,28.9845994
Finland,2018,14.5 [13.7 - 15.4],14.5376288,13.7078548,15.3674027
Israel,2016,50.2 [46.9 - 53.5],50.2048533,46.9257515,53.4839552
Turkmenistan,2013,76.8 [72.3 - 81.3],76.8083496,72.2893808,81.3273184
Bulgaria,2006,25.8 [24.2 - 27.4],25.7616152,24.1513948,27.3718356
Czechia,2003,25.4 [23.9 - 26.9],25.3738701,23.8955594,26.8521809
Romania,2007,31.8 [28.7 - 34.9],31.7750926,28.6867203,34.8634649
Belgium,2001,14.9 [14.0 - 15.7],14.8755658,14.0455972,15.7055343
Azerbaijan,2019,84.4 [80.1 - 88.6],84.355819,80.1010705,88.6105676
Malta,2007,16.8 [15.8 - 17.9],16.825967,15.8018075,17.8501266
Switzerland,2015,13.3 [12.5 - 14.2],13.3366472,12.4501935,14.223101
Israel,2012,50.1 [47.0 - 53.3],50.1204482,46.9892716,53.2516248
